Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,5000,5001,5000,141,79,0.56,1.47,0.58,182.3
2,5001,5000,5000,165,78,0.473,1.42,0.71,194.98
3,5001,5000,5000,308,182,0.591,1.7,0.86,203.24
4,5000,5000,5000,444,328,0.739,1.21,1.05,211.36
5,5000,5000,5000,433,316,0.73,0.68,1.07,229.29
6,5000,5000,5000,445,365,0.82,0.97,0.67,233.29
7,5000,5000,5000,614,485,0.79,2.53,2.29,290.46
8,5000,5000,5000,548,399,0.728,1.8,2.75,291.2
9,5000,5000,5000,737,615,0.834,1.3,2.36,286.91
10,5000,5002,5000,566,496,0.876,1.5,2.38,297.5
11,5000,5000,5000,493,403,0.817,1.43,0.68,239.52
12,5000,5000,5000,910,786,0.864,1.39,2.68,360.52
13,5000,5000,5000,849,661,0.779,1.43,5.06,444.33
14,5000,5000,5000,669,449,0.671,1.77,6.22,529.34
15,5000,5000,5000,105,45,0.429,1.7,17.54,561.17
16,5000,5000,5000,159,81,0.509,1.95,0.75,93.32
17,5000,5000,5000,521,435,0.835,1.44,2.14,164.19
18,5000,5000,5000,542,472,0.871,1.9,3.39,214.05
19,5000,5000,5000,730,652,0.893,0.7,4.19,288.87
