Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,19739,11670,11670,677,482,0.712,1.76,1.13,196.05
2,20799,12166,12166,748,352,0.471,1.52,1.45,209.32
3,27806,13731,13731,992,675,0.68,1.61,1.85,223.04
4,35735,18498,18498,1309,1014,0.775,1.01,2.53,238.25
5,44822,14941,14941,1528,1201,0.786,1.14,2.69,262.7
6,14659,18076,14659,922,746,0.809,1.09,1.25,247.62
7,38530,17702,17702,2010,1544,0.768,1.52,4.05,320.27
8,37621,14657,14657,1609,1210,0.752,1.74,3.9,319.86
9,35905,11680,11680,1895,1484,0.783,1.23,3.54,317.54
10,37502,10346,10346,1409,1143,0.811,1.39,3.42,328.65
11,14993,14117,14117,906,733,0.809,1.69,1.18,254.73
12,31691,10560,10560,2490,1847,0.742,1.9,3.78,398.54
13,31801,9588,9588,1956,1437,0.735,1.4,7.23,303.09
14,31020,8264,8264,1680,1056,0.629,1.89,6.95,387.95
15,33292,5539,5539,413,160,0.387,1.67,10.18,454.87
16,17178,8587,8587,520,336,0.646,1.82,1.08,98.62
17,28926,9928,9928,1922,1633,0.85,1.34,2.59,167.49
18,30296,9380,9380,2206,1930,0.875,1.58,3.35,210.04
19,30098,11156,11156,3131,2740,0.875,0.68,3.95,273.05
