Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,6500,6500,6500,172,109,0.634,1.62,0.62,185.04
2,6500,6500,6500,216,91,0.421,2.39,0.78,196.71
3,6500,6500,6500,399,253,0.634,1.98,0.83,203.96
4,6500,6500,6500,569,430,0.756,0.9,1.11,212.26
5,6501,6500,6500,504,397,0.788,0.9,1.17,231.84
6,6500,6500,6500,539,449,0.833,1.08,0.71,235.66
7,6500,6500,6500,727,561,0.772,2.39,2.53,293.68
8,6500,6501,6500,647,442,0.683,1.51,2.81,297.89
9,6501,6500,6500,822,644,0.783,1.04,2.6,299.21
10,6501,6500,6500,649,568,0.875,1.49,2.93,315.69
11,6500,6500,6500,554,442,0.798,1.41,0.81,248.1
12,6501,6500,6500,1045,937,0.897,1.7,2.99,387.49
13,6500,6501,6500,980,815,0.832,1.44,5.83,294.58
14,6500,6500,6500,778,534,0.686,1.93,6.62,395.56
15,6501,5539,5539,127,58,0.457,2.05,19.17,644.27
16,6500,6500,6500,177,95,0.537,1.94,0.79,93.57
17,6500,6500,6500,623,528,0.848,1.51,2.06,162.55
18,6500,6500,6500,634,545,0.86,1.72,2.76,209.29
19,6501,6500,6500,888,774,0.872,0.68,3.57,281.14
