Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,8000,8000,8000,221,138,0.624,1.81,0.67,186.8
2,8001,8000,8000,277,127,0.458,1.63,0.8,199.57
3,8001,8001,8001,449,261,0.581,1.57,0.9,205.82
4,8001,8001,8001,644,500,0.776,0.9,1.12,214.07
5,8000,8000,8000,561,442,0.788,0.88,1.16,233.92
6,8000,8002,8000,571,478,0.837,1.03,0.75,238.59
7,8000,8000,8000,807,583,0.722,1.72,2.52,293.65
8,8001,8000,8000,733,498,0.679,1.65,2.67,289.98
9,8000,8000,8000,955,788,0.825,1.37,2.53,286.29
10,8000,8000,8000,721,631,0.875,1.47,2.5,297.27
11,8000,8000,8000,650,549,0.845,1.76,0.77,243.34
12,8000,8000,8000,1209,1077,0.891,1.77,2.73,370.11
13,8001,8000,8000,1085,883,0.814,1.62,5.15,456.24
14,8001,8000,8000,860,565,0.657,1.79,5.63,518.94
15,8000,5539,5539,163,71,0.436,1.88,10.68,524.8
16,8000,8000,8000,220,118,0.536,1.52,0.94,91.52
17,8000,8000,8000,724,607,0.838,1.45,1.97,153.11
18,8000,8001,8000,739,640,0.866,1.77,2.76,196.52
19,8001,8000,8000,1065,926,0.869,0.67,3.34,261.54
