Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,8000,6177,6177,369,213,0.577,1.75,0.61,172.47
2,8000,6209,6209,480,319,0.665,1.63,0.73,185.5
3,8000,6946,6946,623,346,0.555,1.79,0.85,192.62
4,8000,8000,8000,715,540,0.755,0.95,1.0,200.92
5,8000,6638,6638,644,510,0.792,1.4,1.09,221.12
6,8000,8000,8000,765,650,0.85,0.93,1.74,260.52
7,8000,8000,8000,797,635,0.797,2.45,1.41,253.19
8,8000,6293,6293,785,594,0.757,1.72,1.46,229.42
9,8000,4921,4921,795,655,0.824,1.33,1.33,230.76
10,8000,3997,3997,581,477,0.821,1.33,1.55,244.2
11,8000,5452,5452,1061,903,0.851,1.5,1.41,273.85
12,8000,4527,4527,941,822,0.874,1.77,2.04,331.59
13,8000,4678,4678,956,764,0.799,1.53,1.72,303.66
14,8000,4294,4294,748,508,0.679,1.99,1.68,252.94
15,8000,2460,2460,172,67,0.39,1.89,1.49,256.72
16,8000,2852,2852,264,159,0.602,1.41,1.64,251.38
17,8000,3162,3162,564,485,0.86,1.53,1.69,265.12
18,8000,3510,3510,605,532,0.879,1.96,1.56,273.81
19,8000,3369,3369,655,580,0.885,0.84,1.89,288.14
