Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,3000,3000,3000,126,71,0.563,1.17,0.46,170.99
2,3000,3000,3000,188,113,0.601,1.33,0.57,183.72
3,3000,3000,3000,269,140,0.52,2.16,0.68,192.27
4,3000,3000,3000,308,223,0.724,0.83,0.84,201.22
5,3000,3000,3000,281,246,0.875,1.62,0.99,223.1
6,3000,3000,3000,273,231,0.846,0.83,1.65,265.7
7,3000,3000,3000,294,184,0.626,1.66,1.34,257.86
8,3000,3000,3000,305,227,0.744,1.82,1.43,231.64
9,3000,3000,3000,300,255,0.85,1.39,1.29,232.6
10,3000,3000,3000,224,179,0.799,1.36,1.46,246.49
11,3000,3000,3000,386,328,0.85,1.42,1.4,279.27
12,3000,3000,3000,328,288,0.878,1.78,1.96,335.76
13,3000,3000,3000,399,310,0.777,1.72,1.55,306.68
14,3000,3000,3000,346,246,0.711,2.08,1.54,256.29
15,3000,2460,2460,58,21,0.362,1.09,1.63,259.78
16,3000,2852,2852,103,57,0.553,1.52,1.5,256.09
17,3000,3000,3000,199,165,0.829,1.59,1.64,270.39
18,3000,3000,3000,222,188,0.847,1.98,1.49,276.69
19,3000,3000,3000,228,197,0.864,0.88,1.74,286.32
