Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,6500,6177,6177,290,181,0.624,2.07,0.59,172.06
2,6500,6209,6209,383,242,0.632,1.5,0.75,185.23
3,6500,6500,6500,524,308,0.588,2.18,0.84,193.3
4,6500,6500,6500,587,444,0.756,0.94,1.1,202.42
5,6500,6500,6500,541,464,0.858,1.83,1.08,224.11
6,6500,6500,6500,619,524,0.847,1.08,1.78,266.37
7,6500,6500,6500,632,483,0.764,2.35,1.38,259.62
8,6500,6293,6293,640,464,0.725,1.33,1.54,234.6
9,6500,4921,4921,632,535,0.847,1.55,1.42,235.37
10,6500,3997,3997,458,381,0.832,1.31,1.61,248.6
11,6500,5452,5452,825,698,0.846,1.48,1.44,279.96
12,6500,4527,4527,771,683,0.886,1.82,2.1,336.71
13,6500,4678,4678,816,652,0.799,1.55,1.75,307.55
14,6500,4294,4294,661,472,0.714,2.09,1.68,258.45
15,6500,2460,2460,142,43,0.303,1.38,1.68,260.6
16,6500,2852,2852,216,121,0.56,1.65,1.63,257.41
17,6500,3162,3162,423,303,0.716,1.51,1.78,279.57
18,6500,3510,3510,471,389,0.826,1.7,1.84,289.29
19,6500,3369,3369,487,426,0.875,0.77,2.01,302.29
