Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,5000,5000,5000,212,123,0.58,1.78,0.54,171.31
2,5000,5000,5000,306,187,0.611,1.4,0.64,184.04
3,5000,5000,5000,426,222,0.521,1.74,0.75,191.43
4,5000,5000,5000,489,376,0.769,0.93,0.89,199.22
5,5000,5000,5000,425,349,0.821,1.4,1.0,218.95
6,5000,5000,5000,492,430,0.874,1.01,1.49,258.07
7,5000,5000,5000,514,388,0.755,2.3,1.41,252.0
8,5000,5000,5000,519,381,0.734,1.94,1.36,228.55
9,5000,4921,4921,514,444,0.864,1.42,1.34,229.7
10,5000,3997,3997,381,319,0.837,1.33,1.47,243.54
11,5000,5000,5000,661,569,0.861,1.59,1.36,273.83
12,5000,4527,4527,606,516,0.851,1.97,1.98,323.15
13,5000,4678,4678,673,534,0.793,1.81,1.66,294.74
14,5000,4294,4294,537,341,0.635,1.88,1.61,253.2
15,5000,2460,2460,119,31,0.261,1.24,1.59,260.18
16,5000,2852,2852,170,103,0.606,1.56,1.67,256.13
17,5000,3162,3162,342,293,0.857,1.79,1.65,268.29
18,5000,3510,3510,390,348,0.892,2.01,1.59,275.52
19,5000,3369,3369,416,367,0.882,0.75,1.71,281.93
