Total Images,Total Dataset Image Size (pixels),Memory (MB)
1,2073600,139.03
2,4147200,174.61
3,6220800,177.9
4,8294400,182.59
5,10368000,187.73
6,12441600,203.72
7,14515200,222.85
8,16588800,95.04
9,18662400,103.88
10,20736000,112.82
11,22809600,113.46
12,24883200,113.64
13,26956800,161.56
14,29030400,163.52
15,31104000,197.5
16,33177600,226.03
17,35251200,70.68
18,37324800,93.85
19,39398400,115.15
20,41472000,160.31
