Method,Avg KP Img1,Avg KP Img2,Avg Total Matches,Avg Good Matches,Avg Inliers,Avg Reprojection Error,Avg Time (s),Avg Memory (MB)
SIFT,3000.1052631578946,3000.1052631578946,3000.1052631578946,544.421052631579,450.57894736842104,49.69421052631578,0.48157894736842116,185.89894736842106
ORB,500.0,500.0,500.0,116.625,103.5625,24.638749999999998,0.043125,272.86625
AKAZE,5570.789473684211,5266.210526315789,5570.789473684211,1264.0,1059.0,35.87947368421053,0.5121052631578946,181.06684210526316
