Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,81435,66497,66497,1867,1153,0.618,1.87,8.69,276.04
2,83955,63404,63404,1818,1171,0.644,1.81,8.01,290.21
3,90707,72048,72048,2961,2022,0.683,1.81,9.75,301.57
4,96700,80779,80779,5069,3776,0.745,1.2,11.7,313.64
5,99301,76305,76305,4080,3497,0.857,1.67,11.49,335.0
6,73695,80328,73695,2345,1808,0.771,1.89,8.93,332.1
7,100000,81701,81701,6123,4930,0.805,2.44,12.45,400.66
8,100000,73306,73306,5880,4699,0.799,1.63,11.66,405.74
9,100000,62313,62313,9078,8087,0.891,1.44,9.76,407.27
10,100000,53523,53523,6755,6003,0.889,1.67,8.32,420.22
11,67449,68745,67449,3653,3050,0.835,2.16,7.24,348.9
12,100000,55782,55782,12450,10764,0.865,1.85,8.65,500.79
13,100000,56232,56232,8919,7455,0.836,1.58,8.8,590.66
14,100000,47394,47394,6521,4473,0.686,1.56,7.53,632.01
15,100000,29736,29736,1023,565,0.552,1.93,5.55,1430.77
16,78017,38579,38579,889,454,0.511,2.46,4.71,349.74
17,100000,43800,43800,7486,6594,0.881,1.76,6.84,430.62
18,100000,45602,45602,8544,7507,0.879,1.97,7.16,481.3
19,100000,52898,52898,11473,10900,0.95,1.11,8.4,560.1
