Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,6500,6500,6500,125,86,0.688,1.32,0.29,254.15
2,6500,6500,6500,125,75,0.6,1.61,0.17,267.6
3,6500,6500,6500,301,191,0.635,1.96,0.17,276.62
4,6500,6500,6500,554,429,0.774,1.92,0.19,285.99
5,6500,6500,6500,482,419,0.869,1.31,0.2,303.47
6,6500,6500,6500,339,280,0.826,1.9,0.16,286.58
7,6500,6500,6500,789,562,0.712,1.35,0.21,324.63
8,6500,6500,6500,723,482,0.667,1.53,0.22,333.27
9,6500,6500,6500,1163,1029,0.885,1.36,0.22,338.88
10,6500,6500,6500,864,794,0.919,1.96,0.23,354.28
11,6500,6500,6500,661,582,0.88,2.11,0.17,319.74
12,6500,6500,6500,1435,1314,0.916,1.77,0.28,442.77
13,6500,6500,6500,1439,1234,0.858,1.6,0.34,521.73
14,6500,6500,6500,1029,871,0.846,1.77,0.36,553.36
15,6500,6500,6500,93,59,0.634,1.76,2.79,4561.78
16,6500,6500,6500,108,55,0.509,2.1,0.19,350.6
17,6500,6500,6500,832,799,0.96,1.76,0.29,453.45
18,6500,6500,6500,840,663,0.789,1.87,0.36,522.9
19,6500,6500,6500,1206,1172,0.972,1.08,0.42,630.41
