Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,48114,44423,44423,923,579,0.627,1.55,3.42,267.08
2,48793,43382,43382,1016,652,0.642,1.86,3.25,280.57
3,50000,45990,45990,1634,989,0.605,2.18,3.56,292.1
4,50000,47610,47610,3110,2468,0.794,1.53,3.67,300.62
5,50000,46803,46803,2359,1944,0.824,1.23,3.74,319.25
6,47275,47794,47275,1583,1229,0.776,1.93,3.53,320.07
7,50000,48135,48135,3800,2401,0.632,1.71,4.22,387.11
8,50000,45788,45788,3617,2468,0.682,1.85,4.25,394.63
9,50000,42558,42558,5934,5330,0.898,1.68,3.56,395.13
10,50000,38427,38427,4364,3930,0.901,1.65,3.16,415.77
11,44952,43882,43882,2912,2251,0.773,2.19,3.42,342.0
12,50000,39524,39524,7825,6823,0.872,1.71,3.3,478.89
13,50000,40241,40241,6122,5178,0.846,1.6,3.4,575.87
14,50000,36337,36337,4335,3498,0.807,1.92,3.29,624.89
15,50000,27935,27935,546,326,0.597,2.26,3.24,1621.61
16,48672,32941,32941,531,256,0.482,2.06,2.58,339.54
17,50000,34868,34868,4485,3975,0.886,1.76,3.01,409.29
18,50000,36231,36231,4864,4138,0.851,2.17,3.14,460.13
19,50000,38156,38156,6581,6237,0.948,1.1,3.2,542.48
