Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,8000,8000,8000,154,112,0.727,1.31,0.31,254.76
2,8000,8000,8000,163,107,0.656,1.75,0.19,269.24
3,8000,8000,8000,275,173,0.629,1.81,0.21,280.61
4,8000,8000,8000,529,417,0.788,1.98,0.23,288.43
5,8000,8000,8000,531,457,0.861,1.21,0.25,304.93
6,8000,8000,8000,350,256,0.731,2.06,0.2,301.76
7,8000,8000,8000,885,516,0.583,1.45,0.27,350.97
8,8000,8000,8000,825,558,0.676,1.57,0.29,361.75
9,8000,8000,8000,1301,1111,0.854,1.59,0.28,375.96
10,8000,8000,8000,970,904,0.932,1.66,0.29,393.06
11,8000,8000,8000,712,617,0.867,2.09,0.21,328.28
12,8000,8000,8000,1622,1503,0.927,2.02,0.32,462.87
13,8000,8000,8000,1583,1327,0.838,1.58,0.41,579.3
14,8000,8000,8000,1202,985,0.819,1.67,0.49,663.48
15,8000,8000,8000,114,71,0.623,1.53,1.26,2092.98
16,8000,8000,8000,123,51,0.415,2.02,0.21,326.82
17,8000,8000,8000,917,819,0.893,1.77,0.29,386.88
18,8000,8000,8000,909,808,0.889,2.25,0.33,430.42
19,8000,8000,8000,1352,1315,0.973,1.07,0.35,499.62
