Pair,KP Img1,KP Img2,Total Matches,Good Matches,Inliers,Inliers Ratio,Reprojection Error,Time (s),Memory (MB)
1,5000,5000,5000,93,60,0.645,1.67,0.26,254.75
2,5000,5000,5000,85,65,0.765,1.46,0.14,271.61
3,5000,5000,5000,140,92,0.657,1.54,0.15,287.94
4,5000,5000,5000,323,243,0.752,1.95,0.18,300.09
5,5000,5000,5000,355,303,0.854,1.26,0.18,319.75
6,5000,5000,5000,214,185,0.864,1.96,0.14,303.78
7,5000,5000,5000,615,469,0.763,1.26,0.21,357.56
8,5000,5000,5000,547,393,0.718,1.74,0.22,366.22
9,5000,5000,5000,850,755,0.888,1.3,0.22,374.44
10,5000,5000,5000,593,522,0.88,1.74,0.22,386.86
11,5000,5000,5000,495,388,0.784,1.88,0.15,330.41
12,5000,5000,5000,1078,886,0.822,1.51,0.26,465.0
13,5000,5000,5000,1113,951,0.854,1.67,0.35,553.69
14,5000,5000,5000,835,666,0.798,1.69,0.36,603.78
15,5000,5000,5000,68,50,0.735,1.57,1.91,3177.46
16,5000,5000,5000,81,38,0.469,2.29,0.15,339.87
17,5000,5000,5000,637,599,0.94,1.76,0.23,425.65
18,5000,5000,5000,670,574,0.857,2.03,0.29,487.17
19,5000,5000,5000,920,899,0.977,1.06,0.35,583.48
